a	'a
closed circuit	"closed-'cir-cuit
closed circuits	"closed-'cir-cuits
closed-door	"closed-'door
closed down	"closed-'down
closed in	"closed-'in
closed out	"closed-'out
closedown	'close-down
close down	"close-'down
closedowns	'close-downs
closed season	'closed-"sea-son
closed seasons	'closed-"sea-sons
closed shop	"closed-'shop
closed shops	"closed-'shops
closed up	"closed-'up
closed with	'closed-with
closefisted	"close-'fist-ed
close-fitting	"close-'fit-ting
close-grained	"close-'grained
close-hauled	"close-'hauled
close in	"close-'in
close-knit	"close-'knit
closely	'close-ly
closeness	'close-ness
closeout	'close-out
close out	"close-'out
closeouts	'close-outs
closer	'clos-er
closer-cropped	"clos-er-'cropped
closer-grained	"clos-er-'grained
closer-knit	"clos-er-'knit
closes	'clos-es
closes down	"clos-es-'down
close season	'close-"sea-son
close seasons	'close-"sea-sons
close-set	"close-'set
closes in	"clos-es-'in
closes out	"clos-es-'out
closest	'clos-est
closest-cropped	"clos-est-'cropped
closest-grained	"clos-est-'grained
closest-knit	"clos-est-'knit
closes up	"clos-es-'up
closes with	'clos-es-with
closet	'clos-et
closeted	'clos-et-ed
close thing	"close-'thing
close things	"close-'things
closeting	'clos-et-ing
closets	'clos-ets
close-up	'close-up
close up	"close-'up
close-ups	'close-ups
close with	'close-with
closing	'clos-ing
closing down	"clos-ing-'down
closing in	"clos-ing-'in
closing out	"clos-ing-'out
closing price	'clos-ing-price
closing prices	'clos-ing-pric-es
closing time	'clos-ing-time
closing times	'clos-ing-times
closing up	"clos-ing-'up
closing with	'clos-ing-with
closure	'clo-sure
closures	'clo-sures
clot	'clot
cloth	'cloth
clothe	'clothe
clothed	'clothed
clothes	'clothes
clothesbasket	'clothes-"bas-ket
clothesbaskets	'clothes-"bas-kets
clothes-hanger	'clothes-"hang-er
clothes-hangers	'clothes-"hang-ers
clotheshorse	'clothes-horse
clotheshorses	'clothes-hors-es
clothesline	'clothes-line
clotheslines	'clothes-lines
clothes-moth	'clothes-moth
clothes-moths	'clothes-moths
clothes-peg	'clothes-peg
clothes-pegs	'clothes-pegs
clothespin	'clothes-pin
clothespins	'clothes-pins
clothes tree	'clothes-tree
clothes trees	'clothes-trees
clothier	'cloth-ier
clothiers	'cloth-iers
clothing	'cloth-ing
cloths	'cloths
clots	'clots
clotted	'clot-ted
clotted cream	"clot-ted-'cream
clotting	'clot-ting
cloture	'clo-ture
clotures	'clo-tures
cloud	'cloud
cloudbank	'cloud-bank
cloudbanks	'cloud-banks
cloudburst	'cloud-burst
cloudbursts	'cloud-bursts
cloud-capped	'cloud-capped
cloud chamber	'cloud-"cham-ber
cloud chambers	'cloud-"cham-bers
cloud-cuckoo-land	"cloud-'cuck-oo-land
clouded	'cloud-ed
cloudiest	'cloud-i-est
cloudiness	'cloud-i-ness
clouding	'cloud-ing
cloudless	'cloud-less
cloud nine	"cloud-'nine
clouds	'clouds
cloudy	'cloud-y
clout	'clout
clouted	'clout-ed
clouting	'clout-ing
clouts	'clouts
clove	'clove
clove hitch	'clove-hitch
clove hitches	'clove-hitch-es
cloven	'clo-ven
cloven feet	"clo-ven-'feet
cloven foot	"clo-ven-'foot
cloven hoof	"clo-ven-'hoof
cloven hoofs	"clo-ven-'hoofs
clover	'clo-ver
cloverleaf	'clo-ver-"leaf
cloverleaves	'clo-ver-"leaves
clovers	'clo-vers
cloves	'cloves
clove to	'clove-to
clown	'clown
clowned	'clowned
clowning	'clown-ing
clownish	'clown-ish
clownishly	'clown-ish-ly
clownishness	'clown-ish-ness
clowns	'clowns
cloy	'cloy
cloyed	'cloyed
cloying	'cloy-ing
cloys	'cloys
club	'club
clubbable	'club-ba-ble
clubbed	'clubbed
clubbed together	"clubbed-to-'geth-er
clubbing	'club-bing
clubbing together	"club-bing-to-'geth-er
clubfeet	"club-'feet
clubfoot	"club-'foot
clubfooted	"club-'foot-ed
clubhouse	'club-house
clubhouses	'club-hous-es
clubs	'clubs
clubs together	"clubs-to-'geth-er
club together	"club-to-'geth-er
cluck	'cluck
clucked	'clucked
clucking	'cluck-ing
clucks	'clucks
clue	'clue
clued in	"clued-'in
clued up	"clued-'up
clue in	"clue-'in
clueless	'clue-less
clues	'clues
clues in	"clues-'in
clues up	"clues-'up
clue up	"clue-'up
cluing in	"clu-ing-'in
cluing up	"clu-ing-'up
clump	'clump
clumped	'clumped
clumping	'clump-ing
clumps	'clumps
clumsiest	'clum-si-est
clumsily	'clum-si-ly
clumsiness	'clum-si-ness
clumsy	'clum-sy
clung	'clung
clunk	'clunk
clunked	'clunked
clunking	'clunk-ing
clunks	'clunks
cluster	'clus-ter
clustered	'clus-tered
clustering	'clus-ter-ing
clusters	'clus-ters
clutch	'clutch
clutch at	'clutch-at
clutched	'clutched
clutched at	'clutched-at
clutches	'clutch-es
clutches at	'clutch-es-at
clutching	'clutch-ing
clutching at	'clutch-ing-at
clutter	'clut-ter
cluttered	'clut-tered
cluttering	'clut-ter-ing
clutters	'clut-ters
coach	'coach
coachbuilder	'coach-"build-er
coachbuilders	'coach-"build-ers
coached	'coached
coaches	'coach-es
coaching	'coach-ing
coachman	'coach-man
coachmen	'coach-men
coach park	'coach-park
coach parks	'coach-parks
coachwork	'coach-work
coachworks	'coach-works
coadjutor	co-'ad-ju-tor
coadjutors	co-'ad-ju-tors
coagulant	co-'ag-u-lant
coagulants	co-'ag-u-lants
coagulate	co-'ag-u-late
coagulated	co-'ag-u-lat-ed
coagulates	co-'ag-u-lates
coagulating	co-'ag-u-lat-ing
coagulation	co-"ag-u-'la-tion
coagulations	co-"ag-u-'la-tions
coal	'coal
coalbunker	'coal-"bunk-er
coalbunkers	'coal-"bunk-ers
coaled	'coaled
coalesce	"co-a-'lesce
coalesced	"co-a-'lesced
coalescence	"co-a-'les-cence
coalescences	"co-a-'les-cenc-es
coalescent	"co-a-'les-cent
coalesces	"co-a-'lesc-es
coalescing	"co-a-'lesc-ing
coalface	'coal-face
coalfaces	'coal-fac-es
coalfield	'coal-field
coalfields	'coal-fields
coal-gas	'coal-gas
coalhole	'coal-hole
coalholes	'coal-holes
coalhouse	'coal-house
coalhouses	'coal-hous-es
coaling	'coal-ing
coaling-station	'coal-ing-"sta-tion
coaling-stations	'coal-ing-"sta-tions
coalition	"co-a-'li-tion
coalitions	"co-a-'li-tions
coal measure	'coal-"meas-ure
coal measures	'coal-"meas-ures
coalmine	'coal-mine
coalmines	'coal-mines
coal-pit	'coal-pit
coal-pits	'coal-pits
coals	'coals
coalscuttle	'coal-"scut-tle
coalscuttles	'coal-"scut-tles
coal-seam	'coal-seam
coal-seams	'coal-seams
coal-tar	"coal-'tar
coaming	'coam-ing
coamings	'coam-ings
coarse	'coarse
coarse fish	'coarse-fish
coarse fishes	'coarse-fish-es
coarsely	'coarse-ly
coarsen	'coars-en
coarsened	'coars-ened
coarseness	'coarse-ness
coarsens	'coars-ens
coarser	'coars-er
coarsest	'coars-est
coast	'coast
coastal	'coast-al
coasted	'coast-ed
coaster	'coast-er
coasters	'coast-ers
coastguard	'coast-guard
coastguards	'coast-guards
coastguardsman	'coast-guards-man
coastguardsmen	'coast-guards-men
coasting	'coast-ing
coastline	'coast-line
coastlines	'coast-lines
coasts	'coasts
coastwise	'coast-wise
coat	'coat
coated	'coat-ed
coatee	'coat-ee
coatees	'coat-ees
coat-hanger	'coat-"hang-er
coat-hangers	'coat-"hang-ers
coating	'coat-ing
coatings	'coat-ings
coat of arms	"coat-of-'arms
coat of mail	"coat-of-'mail
coats	'coats
coats of arms	"coats-of-'arms
coats of mail	"coats-of-'mail
coat-tails	'coat-tails
coauthor	"co-'au-thor
coauthors	"co-'au-thors
coax	'coax
coaxed	'coaxed
coaxes	'coax-es
coaxing	'coax-ing
coaxingly	'coax-ing-ly
coaxings	'coax-ings
cob	'cob
cobalt	co-'balt
cobber	'cob-ber
cobble	'cob-ble
cobbled	'cob-bled
cobbler	'cob-bler
cobblers	'cob-blers
cobbles	'cob-bles
cobblestone	'cob-ble-stone
cobblestones	'cob-ble-stones
cobbling	'cob-bling
cob-nut	'cob-nut
cob-nuts	'cob-nuts
cobra	'co-bra
cobras	'co-bras
cobs	'cobs
cobweb	'cob-web
cobwebs	'cob-webs
coca	'co-ca
Coca-Cola	"Co-ca-'Co-la
Coca-Colas	"Co-ca-'Co-las
cocaine	co-'caine
cocas	'co-cas
coccyges	coc-'cy-ges
coccyx	'coc-cyx
cochineal	'coch-i-neal
cochleae	'coch-le-ae
cock	'cock
cockade	cock-'ade
cockades	cock-'ades
cock-a-doodle-doo	"cock-a-doo-dle-'doo
cock-a-doodle-doos	"cock-a-doo-dle-'doos
cock-a-hoop	"cock-a-'hoop
cock-a-leekie	"cock-a-'leek-ie
cock-and-bull stories	"cock-and-'bull-"sto-ries
cock-and-bull story	"cock-and-'bull-"sto-ry
cockatoo	"cock-a-'too
cockatoos	"cock-a-'toos
cockchafer	'cock-"chaf-er
cockchafers	'cock-"chaf-ers
cockcrow	'cock-crow
cockcrows	'cock-crows
cocked	'cocked
cocked hat	"cocked-'hat
cocked hats	"cocked-'hats
cocked up	"cocked-'up
cocker	'cock-er
cockerel	'cock-er-el
cockerels	'cock-er-els
cockers	'cock-ers
cocker spaniel	"cock-er-'span-iel
cocker spaniels	"cock-er-'span-iels
cockeyed	'cock-eyed
cockfight	'cock-fight
cockfighting	'cock-"fight-ing
cockfights	'cock-fights
cockhorse	"cock-'horse
cockhorses	"cock-'hors-es
cockiest	'cock-i-est
cockiness	'cock-i-ness
cocking	'cock-ing
cocking up	"cock-ing-'up
cockle	'cock-le
cockles	'cock-les
cockleshell	'cock-le-shell
cockleshells	'cock-le-shells
cockney	'cock-ney
cockneys	'cock-neys
cockpit	'cock-pit
cockpits	'cock-pits
cockroach	'cock-roach
cockroaches	'cock-roach-es
cocks	'cocks
cockscomb	'cocks-comb
cockscombs	'cocks-combs
cocks up	"cocks-'up
cocksure	"cock-'sure
cocktail	'cock-tail
cocktail dress	'cock-tail-dress
cocktail dresses	'cock-tail-dress-es
cocktail lounge	'cock-tail-lounge
cocktail lounges	'cock-tail-loung-es
cocktails	'cock-tails
cock-up	'cock-up
cock up	"cock-'up
cock-ups	'cock-ups
cocky	'cock-y
coco	'co-co
cocoa	'co-coa
cocoas	'co-coas
coconut	'co-co-nut
coconut matting	"co-co-nut-'mat-ting
coconut palm	'co-co-nut-palm
coconut palms	'co-co-nut-palms
coconuts	'co-co-nuts
coconut shies	'co-co-nut-shies
coconut shy	'co-co-nut-shy
cocoon	co-'coon
cocooned	co-'cooned
cocooning	co-'coon-ing
cocoons	co-'coons
cocos	'co-cos
cocotte	co-'cotte
cocottes	co-'cottes
cod	'cod
coda	'co-da
codas	'co-das
codded	'cod-ded
codding	'cod-ding
coddle	'cod-dle
coddled	'cod-dled
coddles	'cod-dles
code	'code
coded	'cod-ed
codeine	'co-deine
codes	'codes
codex	'co-dex
codfish	'cod-"fish
codfishes	'cod-"fish-es
codger	'cod-ger
codgers	'cod-gers
codices	'co-di-ces
codicil	'cod-i-cil
codicils	'cod-i-cils
codification	"cod-i-fi-'ca-tion
codifications	"cod-i-fi-'ca-tions
codified	'cod-i-fied
codifies	'cod-i-fies
codify	'cod-i-fy
codifying	'cod-i-fy-ing
coding	'cod-ing
codlin	'cod-lin
codling	'cod-ling
codlings	'cod-lings
codlins	'cod-lins
cod-liver oil	"cod-liv-er-'oil
codpiece	'cod-piece
codpieces	'cod-piec-es
cods	'cods
codswallop	'cods-wal-lop
coed	"co-'ed
coeds	"co-'eds
coeducation	"co-ed-u-'ca-tion
coeducational	"co-ed-u-'ca-tion-al
coefficient	"co-ef-'fi-cient
coefficient of expansion	co-ef-"fi-cient-of-ex-'pan-sion
coefficients	"co-ef-'fi-cients
coefficients of expansion	co-ef-"fi-cients-of-ex-'pan-sion
coelacanth	'coe-la-canth
coelacanths	'coe-la-canths
coequal	co-'e-qual
coequally	co-'e-qual-ly
coequals	co-'e-quals
coerce	co-'erce
coerced	co-'erced
coerces	co-'erc-es
coercing	co-'erc-ing
coercion	co-'er-cion
coercive	co-'er-cive
coercively	co-'er-cive-ly
coerciveness	co-'er-cive-ness
coeternal	"co-e-'ter-nal
coeternally	"co-e-'ter-nal-ly
coeval	'co-e-val
coevals	'co-e-vals
coexist	"co-ex-'ist
coexisted	"co-ex-'ist-ed
coexistence	"co-ex-'ist-ence
coexistent	"co-ex-'ist-ent
coexisting	"co-ex-'ist-ing
coexists	"co-ex-'ists
C of E	"C-of-'E
coffee	'cof-fee
coffee bar	'cof-fee-bar
coffee bars	'cof-fee-bars
coffee bean	'cof-fee-bean
coffee beans	'cof-fee-beans
coffee break	'cof-fee-break
coffee breaks	'cof-fee-breaks
coffee-house	'cof-fee-house
coffee-houses	'cof-fee-hous-es
coffee-mill	'cof-fee-mill
coffee-mills	'cof-fee-mills
coffeepot	'cof-fee-pot
coffeepots	'cof-fee-pots
coffees	'cof-fees
coffee shop	'cof-fee-shop
coffee shops	'cof-fee-shops
coffee-stall	'cof-fee-stall
coffee-stalls	'cof-fee-stalls
coffee table	'cof-fee-"ta-ble
coffee-table book	'cof-fee-ta-ble-"book
coffee-table books	'cof-fee-ta-ble-"books
coffee tables	'cof-fee-"ta-bles
coffee tree	'cof-fee-tree
coffee trees	'cof-fee-trees
coffer	'cof-fer
cofferdam	'cof-fer-dam
cofferdams	'cof-fer-dams
coffers	'cof-fers
coffin	'cof-fin
coffins	'cof-fins
cog	'cog
cogency	'co-gen-cy
cogent	'co-gent
cogently	'co-gent-ly
cogitate	'cog-i-tate
cogitated	'cog-i-tat-ed
cogitates	'cog-i-tates
cogitating	'cog-i-tat-ing
cogitation	"cog-i-'ta-tion
cognac	'co-gnac
cognacs	'co-gnacs
cognate	'cog-nate
cognates	'cog-nates
cognition	cog-'ni-tion
cognizance	'cog-ni-zance
cognizant	'cog-ni-zant
cognize	cog-'nize
cognized	cog-'nized
cognizes	cog-'niz-es
cognizing	cog-'niz-ing
cognomen	cog-'no-men
cognomens	cog-'no-mens
cognoscenti	"co-gno-'scen-ti
cogs	'cogs
cogwheel	'cog-wheel
cogwheels	'cog-wheels
cohabit	co-'hab-it
cohabitation	"co-hab-i-'ta-tion
cohabited	co-'hab-it-ed
cohabiting	co-'hab-it-ing
cohabits	co-'hab-its
cohere	co-'here
cohered	co-'hered
coherence	co-'her-ence
coherency	co-'her-en-cy
coherent	co-'her-ent
coherently	co-'her-ent-ly
coheres	co-'heres
cohering	co-'her-ing
cohesion	co-'he-sion
cohesive	co-'he-sive
cohesively	co-'he-sive-ly
cohesiveness	co-'he-sive-ness
cohort	'co-hort
cohorts	'co-horts
coif	'coif
coiffeur	coif-'feur
coiffeurs	coif-'feurs
coiffure	coif-'fure
coiffured	coif-'fured
coiffures	coif-'fures
coifs	'coifs
coign	'coign
coil	'coil
coiled	'coiled
coiling	'coil-ing
coils	'coils
coin	'coin
coinage	'coin-age
coincide	"co-in-'cide
coincided	"co-in-'cid-ed
coincidence	co-'in-ci-dence
coincidences	co-'in-ci-denc-es
coincident	co-'in-ci-dent
coincidental	co-"in-ci-'den-tal
coincidentally	co-"in-ci-'den-tal-ly
coincides	"co-in-'cides
coinciding	"co-in-'cid-ing
coined	'coined
coiner	'coin-er
coiners	'coin-ers
coining	'coin-ing
coins	'coins
coital	'co-i-tal
coition	co-'i-tion
coitus	'co-i-tus
coitus interruptus	"co-i-tus-in-ter-'rup-tus
coke	'coke
coked	'coked
cokes	'cokes
coking	'cok-ing
col	'col
cola	'co-la
colander	'col-an-der
colanders	'co-lan-ders
cold	'cold
cold-blooded	"cold-'blood-ed
cold chisel	"cold-'chis-el
cold chisels	"cold-'chis-els
cold comfort	"cold-'com-fort
cold cream	'cold-cream
cold cuts	'cold-cuts
colder	'cold-er
coldest	'cold-est
cold feet	"cold-'feet
cold fish	"cold-'fish
cold fishes	"cold-'fish-es
cold frame	'cold-frame
cold frames	'cold-frames
cold front	"cold-'front
cold fronts	"cold-'fronts
cold-hearted	"cold-'heart-ed
cold-heartedly	"cold-'heart-ed-ly
cold-heartedness	"cold-'heart-ed-ness
coldly	'cold-ly
coldness	'cold-ness
colds	'colds
cold saw	'cold-saw
cold saws	'cold-saws
cold shoulder	"cold-'shoul-der
cold-shoulder	"cold-'shoul-der
cold-shouldered	"cold-'shoul-dered
cold-shouldering	"cold-'shoul-der-ing
cold-shoulders	"cold-'shoul-ders
cold snap	'cold-snap
cold snaps	'cold-snaps
cold sore	'cold-sore
cold sores	'cold-sores
cold steel	"cold-'steel
cold storage	"cold-'stor-age
cold store	'cold-store
cold stores	'cold-stores
cold sweat	"cold-'sweat
cold war	"cold-'war
cold wars	"cold-'wars
coleslaw	'cole-slaw
coley	'co-ley
coleys	'co-leys
colic	'col-ic
colicky	'col-ick-y
colitis	co-'li-tis
collaborate	col-'lab-o-rate
collaborated	col-'lab-o-rat-ed
collaborates	col-'lab-o-rates
collaborating	col-'lab-o-rat-ing
collaboration	col-"lab-o-'ra-tion
collaborationist	col-"lab-o-'ra-tion-ist
collaborationists	col-"lab-o-'ra-tion-ists
collaborator	col-'lab-o-ra-tor
collaborators	col-'lab-o-ra-tors
collage	'col-lage
collages	'col-lag-es
collapse	col-'lapse
collapsed	col-'lapsed
collapses	col-'laps-es
collapsible	col-'laps-i-ble
collapsing	col-'laps-ing
collar	'col-lar
collarbone	'col-lar-bone
collarbones	'col-lar-bones
collared	'col-lared
collaring	'col-lar-ing
collars	'col-lars
collar stud	'col-lar-stud
collar studs	'col-lar-studs
collate	col-'late
collated	col-'lat-ed
collateral	col-'lat-er-al
collates	col-'lates
collating	col-'lat-ing
collation	col-'la-tion
collations	col-'la-tions
colleague	'col-league
colleagues	'col-leagues
collect	col-'lect
collected	col-'lect-ed
collectedly	col-'lect-ed-ly
collecting	col-'lect-ing
collection	col-'lec-tion
collections	col-'lec-tions
collective	col-'lec-tive
collective bargaining	col-"lec-tive-'bar-gain-ing
collective farm	col-"lec-tive-'farm
collective farms	col-"lec-tive-'farms
collective leadership	col-"lec-tive-'lead-er-ship
collectively	col-'lec-tive-ly
collective noun	col-"lec-tive-'noun
collective nouns	col-"lec-tive-'nouns
collectives	col-'lec-tives
collectivization	col-"lec-ti-vi-'za-tion
collectivize	col-'lec-ti-vize
collectivized	col-'lec-tiv-ized
collectivizes	col-'lec-tiv-iz-es
collectivizing	col-'lec-ti-viz-ing
collector	col-'lec-tor
collectors	col-'lec-tors
collector's item	col-'lec-tor's-"i-tem
collector's items	col-'lec-tor's-"i-tems
collector's piece	col-'lec-tor's-piece
collector's pieces	col-'lec-tor's-piec-es
collects	col-'lects
colleen	'col-leen
colleens	'col-leens
college	'col-lege
college pudding	"col-lege-'pud-ding
college puddings	"col-lege-'pud-dings
colleges	'col-leg-es
collegiate	col-'le-giate
collegiate church	col-"le-giate-'church
collegiate churches	col-"le-giate-'church-es
collide	col-'lide
collided	col-'lid-ed
collides	col-'lides
colliding	col-'lid-ing
collie	'col-lie
collier	'col-lier
collieries	'col-lier-ies
colliers	'col-liers
colliery	'col-lier-y
collies	'col-lies
Collins	'Col-lins
collision	col-'li-sion
collision course	col-'li-sion-"course
collision courses	col-'li-sion-"cours-es
collisions	col-'li-sions
collocate	'col-lo-cate
collocated	'col-lo-cat-ed
collocates	'col-lo-cates
collocating	'col-lo-cat-ing
collocation	"col-lo-'ca-tion
collocations	"col-lo-'ca-tions
colloquialism	col-'lo-qui-al-ism
colloquialisms	col-'lo-qui-al-isms
colloquies	'col-lo-quies
colloquy	'col-lo-quy
collude	col-'lude
colluded	col-'lud-ed
colludes	col-'ludes
colluding	col-'lud-ing
collusion	col-'lu-sion
collusive	col-'lu-sive
collywobbles	'col-ly-"wob-bles
cologne	co-'logne
colon	'co-lon
colonel	'colo-nel
Colonel Blimp	"Colo-nel-'Blimp
Colonel Blimps	"Colo-nel-'Blimps
colonels	'colo-nels
colonialism	co-'lo-ni-al-ism
colonies	'col-o-nies
Colonies	'Col-o-nies
colonist	'col-o-nist
colonists	'col-o-nists
colonization	"col-o-ni-'za-tion
colonize	'col-o-nize
colonized	'col-o-nized
colonizer	'col-o-niz-er
colonizers	'col-o-niz-ers
colonizes	'col-o-niz-es
colonizing	'col-o-niz-ing
colonnade	"col-on-'nade
colonnaded	"col-on-'nad-ed
colonnades	"co-lon-'nades
colons	'co-lons
colony	'col-o-ny
Colorado	"Col-o-'rad-o
Colorado beetle	"Col-o-rad-o-'bee-tle
Colorado beetles	"Col-o-rad-o-'bee-tles
Colorado potato beetle	"Col-o-rad-o-po-'ta-to-"bee-tle
Colorado potato beetles	"Col-o-rad-o-po-'ta-to-"bee-tles
coloration	"col-or-'a-tion
coloratura	"col-o-ra-'tu-ra
color line	'col-or-line
color lines	'col-or-lines
colossal	co-'los-sal
colossally	co-'los-sal-ly
colossi	co-'los-si
colossus	co-'los-sus
colossuses	co-'los-sus-es
colostrum	co-'los-trum
colour	'col-our
colour-bar	'col-our-bar
colour-bars	'col-our-bars
colour-blind	'col-our-blind
colour blindness	'col-our-blind-ness
coloured	'col-oured
Coloured	'Col-oured
coloured in	"col-oured-'in
Coloureds	'Col-oureds
coloureds	'col-oureds
colourfast	'col-our-fast
colourfastness	'col-our-fast-ness
colourful	'col-our-ful
colour in	"col-our-'in
colouring	'col-our-ing
colouring in	"col-our-ing-'in
colourless	'col-our-less
colourlessly	'col-our-less-ly
colourlessness	'col-our-less-ness
colours	'col-ours
colour scheme	'col-our-scheme
colour schemes	'col-our-schemes
colours in	"col-ours-'in
colour-wash	'col-our-wash
colour-washes	'col-our-wash-es
cols	'cols
colt	'colt
Colt	'Colt
coltish	'colt-ish
coltishly	'colt-ish-ly
coltishness	'colt-ish-ness
colts	'colts
Colts	'Colts
columbine	'col-um-bine
columbines	'col-um-bines
column	'col-umn
columnist	'col-um-nist
columnists	'col-um-nists
columns	'col-umns
coma	'co-ma
comae	'co-mae
comas	'co-mas
comatose	'com-a-tose
comb	'comb
combat	'com-bat
combatant	'com-bat-ant
combatants	'com-bat-ants
combative	'com-bat-ive
combatively	'com-bat-ive-ly
combats	'com-bats
combatted	'com-bat-ted
combatting	'com-bat-ting
combed	'combed
combed out	"combed-'out
comber	'comb-er
combers	'comb-ers
combination	"com-bi-'na-tion
combination-lock	com-bi-'na-tion-lock
combination-locks	com-bi-'na-tion-locks
combinations	"com-bi-'na-tions
combine	com-'bine
combined	com-'bined
combined exercises	com-"bined-'ex-er-cis-es
combined operations	com-"bined-op-e-'ra-tions
combines	com-'bines
combing	'comb-ing
combing out	"comb-ing-'out
combining	com-'bin-ing
combining form	com-'bin-ing-form
combining forms	com-'bin-ing-forms
combo	'com-bo
combos	'com-bos
comb-out	'comb-out
comb out	"comb-'out
comb-outs	'comb-outs
combs	'combs
combs out	"combs-'out
combust	com-'bust
combusted	com-'bust-ed
combustible	com-'bus-ti-ble
combustibles	com-'bust-i-bles
combusting	com-'bust-ing
combustion	com-'bus-tion
combusts	com-'busts
come	'come
come about	"come-a-'bout
come across	'come-a-"cross
come across as	"come-a-'cross-as
come across with	"come-a-'cross-with
come again	"come-a-'gain
come along	"come-a-'long
come apart	"come-a-'part
come around	"come-a-'round
come at	'come-at
come-at-able	"come-'at-a-ble
come away	"come-a-'way
comeback	'come-back
come back	"come-'back
comebacks	'come-backs
come before	'come-be-"fore
come between	'come-be-"tween
come by	'come-by
comedienne	co-"me-di-'enne
comediennes	co-"me-di-'ennes
comedies	'com-e-dies
comedies of manners	"com-e-dies-of-'man-ners
comedown	'come-down
come down	"come-'down
